N,caseId,caseKind,nRuns,reacquisitionRate,meanFirstReacquiredFrame,meanControlAttempts,meanControlBytes,collisionFrames
5,concurrent-migration,concurrent,100,0,NaN,0,0,0
5,iid20-valid,valid,100,1,13,45.25,1258.5,0
5,iid40-valid,valid,100,1,14.68,47.36,1316.72,0
5,incomplete-union,incomplete-union,100,1,13,45.25,1258.5,5200
5,missing-witness,missing-witness,100,0,NaN,1,24,0
5,over-mtu,over-mtu,100,0,NaN,1,24,0
5,response-blackout,response-blackout,100,0,NaN,129.81,3551.06,0
5,revoke-blackout,revoke-blackout,100,1,13,45.25,1258.5,0
5,stale-response,stale-response,100,0,NaN,177.57,4792.82,0
5,zero-loss-valid,valid,100,1,12,44,1224,0
10,concurrent-migration,concurrent,100,0,NaN,0,0,0
10,iid20-valid,valid,100,1,13,45.24,1258.24,0
10,iid40-valid,valid,100,1,14.8,47.56,1322.16,0
10,incomplete-union,incomplete-union,100,1,13,45.24,1258.24,5200
10,missing-witness,missing-witness,100,0,NaN,1,24,0
10,over-mtu,over-mtu,100,0,NaN,1,24,0
10,response-blackout,response-blackout,100,0,NaN,129.97,3555.22,0
10,revoke-blackout,revoke-blackout,100,1,13,45.24,1258.24,0
10,stale-response,stale-response,100,0,NaN,177.72,4796.72,0
10,zero-loss-valid,valid,100,1,12,44,1224,0
20,concurrent-migration,concurrent,100,0,NaN,0,0,0
20,iid20-valid,valid,100,1,13.01,45.27,1259.04,0
20,iid40-valid,valid,100,1,14.7,47.41,1318.06,0
20,incomplete-union,incomplete-union,100,1,13.01,45.27,1259.04,5200
20,missing-witness,missing-witness,100,0,NaN,1,24,0
20,over-mtu,over-mtu,100,0,NaN,1,24,0
20,response-blackout,response-blackout,100,0,NaN,130.03,3556.78,0
20,revoke-blackout,revoke-blackout,100,1,13.01,45.27,1259.04,0
20,stale-response,stale-response,100,0,NaN,177.73,4796.98,0
20,zero-loss-valid,valid,100,1,12,44,1224,0
